StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason,Closure
VWAP8,2019-Sep-13 19:12:22.865065,2019-Sep-13 19:12:22.865065,FILLED,FILL,MSFT,BUY,MARKET,DAY,140.840000,1,0,1,0,140.840000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514362,,,
VWAP8,2019-Sep-13 19:12:23.625768,2019-Sep-13 19:12:23.625768,FILLED,FILL,MSFT,BUY,MARKET,DAY,140.840000,1,0,1,0,140.840000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514363,,,
VWAP8,2019-Sep-13 19:12:28.936296,2019-Sep-13 19:12:28.936296,FILLED,FILL,MSFT,BUY,MARKET,DAY,137.050000,1,0,1,0,137.050000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514364,,,
VWAP8,2019-Sep-13 19:12:28.936805,2019-Sep-13 19:12:28.936805,FILLED,FILL,MSFT,BUY,MARKET,DAY,137.050000,1,0,1,0,137.050000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514365,,,
VWAP8,2019-Sep-13 19:12:32.685389,2019-Sep-13 19:12:32.685389,FILLED,FILL,MSFT,BUY,MARKET,DAY,140.840000,1,0,1,0,140.840000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514366,,,
VWAP8,2019-Sep-13 19:12:37.894940,2019-Sep-13 19:12:37.894940,FILLED,FILL,AAPL,SELL,MARKET,DAY,170.000000,-1,0,-1,0,170.000000,0.005008,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514367,,,
VWAP8,2019-Sep-13 19:12:48.799454,2019-Sep-13 19:12:48.799454,FILLED,FILL,AAPL,SELL,MARKET,DAY,170.000000,-1,0,-1,0,170.000000,0.005008,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514368,,,
VWAP8,2019-Sep-13 19:12:53.218393,2019-Sep-13 19:12:53.218393,FILLED,FILL,MSFT,SELL,MARKET,DAY,136.980000,-5,0,-5,0,136.980000,0.021342,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514369,,,
VWAP8,2019-Sep-13 19:13:03.440414,2019-Sep-13 19:13:03.440414,FILLED,FILL,MSFT,BUY,MARKET,DAY,140.840000,1,0,1,0,140.840000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514370,,,
VWAP8,2019-Sep-13 19:13:03.692794,2019-Sep-13 19:13:03.692794,FILLED,FILL,MSFT,BUY,MARKET,DAY,137.010000,1,0,1,0,137.010000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514371,,,
