StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
VWAP8,2019-Sep-13 17:45:47.316854,MSFT,1,137.340000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512189,,FILL
VWAP8,2019-Sep-13 17:45:54.367834,AAPL,5,217.200000,0.006000,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512190,,FILL
VWAP8,2019-Sep-13 17:45:55.218974,MSFT,1,137.340000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512191,,FILL
VWAP8,2019-Sep-13 17:45:55.400649,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512192,,FILL
VWAP8,2019-Sep-13 17:46:03.388979,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512193,,FILL
VWAP8,2019-Sep-13 17:46:07.603287,MSFT,1,137.360000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512194,,FILL
VWAP8,2019-Sep-13 17:46:13.240759,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512195,,FILL
VWAP8,2019-Sep-13 17:46:20.049787,MSFT,-5,137.330000,0.021381,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512196,,FILL
VWAP8,2019-Sep-13 17:46:20.049846,MSFT,1,137.340000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512197,,FILL
VWAP8,2019-Sep-13 17:46:20.049860,MSFT,1,137.340000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512198,,FILL
VWAP8,2019-Sep-13 17:46:20.049873,MSFT,1,137.340000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512199,,FILL
VWAP8,2019-Sep-13 17:46:20.056788,MSFT,1,137.340000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512200,,FILL
VWAP8,2019-Sep-13 17:46:30.942650,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512201,,FILL
VWAP8,2019-Sep-13 17:46:33.312354,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512202,,FILL
VWAP8,2019-Sep-13 17:46:33.620914,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512203,,FILL
VWAP8,2019-Sep-13 17:46:33.620929,MSFT,-5,137.340000,0.021382,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512204,,FILL
VWAP8,2019-Sep-13 17:46:40.205272,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512205,,FILL
VWAP8,2019-Sep-13 17:46:40.208626,AAPL,5,217.180000,0.006000,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512206,,FILL
VWAP8,2019-Sep-13 17:46:42.004713,MSFT,1,137.350000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512207,,FILL
VWAP8,2019-Sep-13 17:46:49.052142,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512208,,FILL
VWAP8,2019-Sep-13 17:46:50.690093,MSFT,1,137.370000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512209,,FILL
VWAP8,2019-Sep-13 17:47:03.541872,MSFT,1,137.350000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512210,,FILL
VWAP8,2019-Sep-13 17:47:05.797203,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512211,,FILL
VWAP8,2019-Sep-13 17:47:06.402003,AAPL,-1,217.200000,0.006065,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512212,,FILL
VWAP8,2019-Sep-13 17:47:07.580732,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512213,,FILL
VWAP8,2019-Sep-13 17:47:07.607948,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512214,,FILL
VWAP8,2019-Sep-13 17:47:17.690895,MSFT,-5,128.000000,0.020336,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512215,,FILL
VWAP8,2019-Sep-13 17:47:23.121614,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512216,,FILL
