Name,Time,Cumulative PnL
VWAP8,2019-Sep-13 18:04:46.954373,-58971.101721
VWAP8,2019-Sep-13 18:05:48.304254,-59065.526128
VWAP8,2019-Sep-13 18:06:50.298171,-59167.122480
VWAP8,2019-Sep-13 18:07:51.380338,-59416.615920
VWAP8,2019-Sep-13 18:08:51.959803,-60224.524937
VWAP8,2019-Sep-13 18:09:52.572461,-60377.762761
VWAP8,2019-Sep-13 18:10:53.121031,-61733.211967
VWAP8,2019-Sep-13 18:11:54.509819,-62351.409248
VWAP8,2019-Sep-13 18:12:54.984242,-62929.937777
VWAP8,2019-Sep-13 18:13:56.852142,-63445.112562
VWAP8,2019-Sep-13 18:14:57.722584,-63707.280864
VWAP8,2019-Sep-13 18:15:59.886535,-63762.484425
VWAP8,2019-Sep-13 18:17:00.761457,-63875.345915
VWAP8,2019-Sep-13 18:18:02.376292,-63895.467851
VWAP8,2019-Sep-13 18:19:03.547347,-63969.030611
VWAP8,2019-Sep-13 18:20:04.816499,-64035.770265
VWAP8,2019-Sep-13 18:21:08.248843,-64277.558855
VWAP8,2019-Sep-13 18:22:09.534063,-65611.362841
VWAP8,2019-Sep-13 18:23:10.185990,-65966.193366
VWAP8,2019-Sep-13 18:24:13.449004,-66280.452691
VWAP8,2019-Sep-13 18:25:15.261046,-66589.063848
VWAP8,2019-Sep-13 18:26:16.138201,-66836.555888
VWAP8,2019-Sep-13 18:27:16.966309,-67002.032786
VWAP8,2019-Sep-13 18:28:18.212169,-67158.766690
VWAP8,2019-Sep-13 18:29:19.558086,-67487.084953
VWAP8,2019-Sep-13 18:30:23.307649,-67927.407420
VWAP8,2019-Sep-13 18:31:26.491639,-68188.024972
VWAP8,2019-Sep-13 18:32:29.726010,-68963.492781
VWAP8,2019-Sep-13 18:33:30.649191,-69332.508041
VWAP8,2019-Sep-13 18:34:31.851614,-69601.775505
VWAP8,2019-Sep-13 18:35:32.211894,-69626.232077
VWAP8,2019-Sep-13 18:36:35.018297,-69696.219615
VWAP8,2019-Sep-13 18:37:44.220542,-69780.262484
VWAP8,2019-Sep-13 18:38:48.202526,-69866.694481
VWAP8,2019-Sep-13 18:39:50.269264,-69963.479972
VWAP8,2019-Sep-13 18:40:51.217480,-70109.690536
VWAP8,2019-Sep-13 18:41:52.982459,-70203.221866
VWAP8,2019-Sep-13 18:42:53.858280,-70515.314930
VWAP8,2019-Sep-13 18:43:54.699230,-70623.750527
VWAP8,2019-Sep-13 18:44:55.771610,-70984.840965
VWAP8,2019-Sep-13 18:45:58.622073,-71103.749298
VWAP8,2019-Sep-13 18:46:59.675196,-71095.943088
VWAP8,2019-Sep-13 18:48:01.007503,-71143.832671
VWAP8,2019-Sep-13 18:49:02.123432,-71281.674791
VWAP8,2019-Sep-13 18:50:02.254113,-71263.147781
VWAP8,2019-Sep-13 18:51:04.435599,-71324.163657
VWAP8,2019-Sep-13 18:52:05.042342,-71388.280735
VWAP8,2019-Sep-13 18:53:06.809423,-71604.314977
VWAP8,2019-Sep-13 18:54:11.257431,-71662.488697
VWAP8,2019-Sep-13 18:55:12.820549,-71721.409378
VWAP8,2019-Sep-13 18:56:15.724744,-71728.279021
VWAP8,2019-Sep-13 18:57:17.970983,-71813.162439
VWAP8,2019-Sep-13 18:58:18.702190,-71899.762033
VWAP8,2019-Sep-13 18:59:22.256698,-71975.562272
VWAP8,2019-Sep-13 19:00:22.857908,-72001.851220
VWAP8,2019-Sep-13 19:01:26.476175,-72030.440627
VWAP8,2019-Sep-13 19:02:27.419245,-72061.306978
VWAP8,2019-Sep-13 19:03:28.813849,-72167.294702
VWAP8,2019-Sep-13 19:04:30.454796,-72235.226104
VWAP8,2019-Sep-13 19:05:31.521272,-72372.622910
VWAP8,2019-Sep-13 19:06:35.621614,-72489.297946
VWAP8,2019-Sep-13 19:07:41.005093,-72587.655652
VWAP8,2019-Sep-13 19:08:42.049353,-72624.739954
VWAP8,2019-Sep-13 19:09:45.716359,-72815.101721
VWAP8,2019-Sep-13 19:10:53.252638,-72876.488484
VWAP8,2019-Sep-13 19:11:55.461512,-73077.278474
VWAP8,2019-Sep-13 19:12:58.041112,-73239.008185
VWAP8,2019-Sep-13 19:14:03.637020,-73451.772736
VWAP8,2019-Sep-13 19:15:05.230558,-73723.921273
VWAP8,2019-Sep-13 19:16:06.223156,-74076.055065
VWAP8,2019-Sep-13 19:17:08.929835,-74630.085881
VWAP8,2019-Sep-13 19:18:10.231109,-74948.088197
VWAP8,2019-Sep-13 19:19:14.816783,-75084.117481
VWAP8,2019-Sep-13 19:20:15.945892,-75222.423719
VWAP8,2019-Sep-13 19:21:17.088879,-75588.719959
